width_level,height_level,trial_number,dH,response,correct,finger_speed,timestamp
14,6,1,12.0000,right,1,0.0000,2026-06-29T14:35:33
14,6,2,12.0000,right,0,0.0000,2026-06-29T14:35:35
14,6,3,12.6000,right,0,0.0000,2026-06-29T14:35:37
14,6,4,13.2000,right,1,0.0000,2026-06-29T14:35:41
14,6,5,13.2000,right,0,0.0000,2026-06-29T14:35:42
14,6,6,13.8000,right,1,0.0000,2026-06-29T14:35:43
14,6,7,13.8000,right,1,0.0000,2026-06-29T14:35:44
14,6,8,13.2000,right,1,0.0000,2026-06-29T14:35:45
14,6,9,13.2000,right,1,0.0000,2026-06-29T14:35:46
14,6,10,12.6000,left,1,65.2727,2026-06-29T14:35:56
14,6,11,12.6000,right,1,0.0000,2026-06-29T14:35:58
14,6,12,12.0000,left,1,78.0148,2026-06-29T14:36:08
14,6,13,12.0000,left,1,0.0000,2026-06-29T14:36:09
14,6,14,11.4000,right,1,0.0000,2026-06-29T14:36:10
14,6,15,11.4000,left,1,0.0000,2026-06-29T14:36:10
14,6,16,10.8000,right,1,0.0000,2026-06-29T14:36:11
14,6,17,10.8000,left,1,0.0000,2026-06-29T14:36:11
14,6,18,10.2000,left,1,0.0000,2026-06-29T14:36:11
14,6,19,10.2000,left,1,0.0000,2026-06-29T14:36:12
14,6,20,9.6000,left,1,0.0000,2026-06-29T14:36:12
14,6,21,9.6000,left,1,0.0000,2026-06-29T14:36:13
14,6,22,9.0000,left,1,0.0000,2026-06-29T14:36:13
14,6,23,9.0000,left,1,0.0000,2026-06-29T14:36:13
14,6,24,8.4000,right,1,0.0000,2026-06-29T14:36:14
14,6,25,8.4000,right,1,0.0000,2026-06-29T14:36:14
14,6,26,7.8000,right,1,0.0000,2026-06-29T14:36:14
14,6,27,7.8000,right,1,0.0000,2026-06-29T14:36:15
14,6,28,7.2000,right,1,0.0000,2026-06-29T14:36:15
14,6,29,7.2000,right,1,0.0000,2026-06-29T14:36:15
14,6,30,6.6000,right,1,0.0000,2026-06-29T14:36:15
14,6,31,6.6000,right,0,0.0000,2026-06-29T14:36:15
14,6,32,7.2000,left,1,0.0000,2026-06-29T14:36:16
